,Name,Type,Altname
0,NGC 7817  ,G,NGC 7817
1,IC 1532   ,F,IC 1532
2,UGC 99    ,F,UGC 00099
3,NGC 45    ,F,NGC 0045
4,NGC 63    ,M,NGC 0063
5,ESO 539-7 ,F,UGCA 005
6,ESO 150-5 ,F,ESO 150- G 005
7,NGC 115   ,F,NGC 0115
8,NGC 131   ,F,NGC 0131
9,NGC 134   ,M,NGC 0134
10,UGC 313   ,G,UGC 00313
11,ESO 410-18,F,UGCA 006
12,NGC 150   ,G,NGC 0150
13,NGC 157   ,G,NGC 0157
14,NGC 178   ,F,NGC 0178
15,NGC 210   ,G,NGC 0210
16,ESO 79-5  ,F,ESO 079- G 005
17,PGC 2492  ,F,KUG 0039-171B
18,NGC 247   ,F,NGC 0247
19,NGC 253   ,G,NGC 0253
20,NGC 255   ,F,NGC 0255
21,ESO 79-7  ,F,ESO 079- G 007
22,NGC 275   ,F,NGC 0275
23,NGC 289   ,M,NGC 0289
24,ESO 411-26,F,ESO 411- G 026
25,NGC 300   ,M,NGC 0300
26,NGC 298   ,F,NGC 0298
27,ESO 541-4 ,M,ESO 541- G 004
28,ESO 541-5 ,F,ESO 541- G 005
29,NGC 337   ,F,NGC 0337
30,NGC 337A  ,F,NGC 0337A
31,NGC 360   ,M,NGC 0360
32,PGC 3853  ,M,MCG -01-03-085
33,NGC 406   ,F,NGC 0406
34,NGC 428   ,F,NGC 0428
35,NGC 450   ,F,NGC 0450
36,NGC 470   ,M,NGC 0470
37,UGC 891   ,F,UGC 00891
38,NGC 485   ,G,NGC 0485
39,NGC 488   ,M,NGC 0488
40,NGC 493   ,M,NGC 0493
41,NGC 514   ,M,NGC 0514
42,UGC 1014  ,F,UGC 01014
43,NGC 578   ,M,NGC 0578
44,ESO 13-16 ,F,ESO 013- G 016
45,NGC 600   ,M,NGC 0600
46,NGC 613   ,M,NGC 0613
47,NGC 615   ,M,NGC 0615
48,NGC 628   ,M,MESSIER 074
49,PGC 6228  ,M,MCG -01-05-017
50,PGC 6244  ,F,MCG -03-05-014
51,NGC 658   ,M,NGC 0658
52,UGC 1195  ,F,IC 0148
53,NGC 685   ,F,NGC 0685
54,NGC 672   ,F,NGC 0672
55,PGC 6626  ,F,ARP 004
56,PGC 6667  ,F,UGCA 021
57,IC 163    ,F,IC 0163
58,NGC 691   ,M,NGC 0691
59,NGC 701   ,M,NGC 0701
60,IC 167    ,G,IC 0167
61,PGC 6898  ,F,KUG 0149-057
62,NGC 718   ,G,NGC 0718
63,NGC 723   ,F,NGC 0723
64,NGC 755   ,F,NGC 0755
65,NGC 772   ,M,NGC 0772
66,UGC 1547  ,F,UGC 01547
67,UGC 1551  ,F,UGC 01551
68,NGC 803   ,M,NGC 0803
69,PGC 7900  ,F,UGCA 024
70,PGC 8295  ,F,KUG 0207-099
71,ESO 298-15,F,ESO 298- G 015
72,UGC 1670  ,F,UGC 01670
73,ESO 298-23,F,ESO 298- G 023
74,ESO 544-30,F,ESO 544- G 030
75,NGC 864   ,M,NGC 0864
76,UGC 1753  ,F,UGC 01753
77,ESO 545-2 ,F,ESO 545- G 002
78,NGC 895   ,M,NGC 0895
79,NGC 899   ,F,NGC 0899
80,NGC 907   ,F,NGC 0907
81,NGC 908   ,M,NGC 0908
82,UGC 1862  ,F,UGC 01862
83,NGC 918   ,M,NGC 0918
84,ESO 545-16,F,UGCA 031
85,ESO 479-4 ,F,UGCA 032
86,NGC 941   ,F,NGC 0941
87,PGC 9559  ,F,UGCA 033
88,ESO 355-26,M,ESO 355- G 026
89,NGC 986   ,G,NGC 0986
90,NGC 988   ,F,NGC 0988
91,NGC 991   ,F,NGC 0991
92,UGC 2081  ,F,UGC 02081
93,NGC 1022  ,G,NGC 1022
94,NGC 1035  ,F,NGC 1035
95,NGC 1042  ,M,NGC 1042
96,NGC 1036  ,F,NGC 1036
97,NGC 1051  ,F,NGC 0961
98,NGC 1068  ,G,MESSIER 077
99,NGC 1076  ,F,NGC 1076
100,NGC 1073  ,M,NGC 1073
101,NGC 1084  ,F,NGC 1084
102,NGC 1097  ,G,NGC 1097
103,NGC 1087  ,F,NGC 1087
104,NGC 1090  ,M,NGC 1090
105,IC 1870   ,F,IC 1870
106,UGC 2443  ,G,UGC 02443
107,PGC 11248 ,G,UGCA 047
108,PGC 11367 ,M,MCG -03-08-057
109,NGC 1187  ,M,NGC 1187
110,NGC 1179  ,F,NGC 1179
111,ESO 547-5 ,F,ESO 547- G 005
112,ESO 480-25,F,UGCA 050
113,ESO 248-2 ,F,ESO 248- G 002
114,PGC 11744 ,F,MRK 1069
115,IC 1892   ,F,IC 1892
116,ESO 300-14,F,ESO 300- G 014
117,NGC 1232  ,M,NGC 1232
118,NGC 1249  ,F,NGC 1249
119,ESO 116-12,F,ESO 116- G 012
120,NGC 1255  ,F,NGC 1255
121,NGC 1258  ,F,NGC 1258
122,NGC 1253  ,M,NGC 1253
123,PGC 12068 ,F,DDO 032
124,ESO 357-12,F,ESO 357- G 012
125,NGC 1292  ,F,NGC 1292
126,NGC 1313  ,F,NGC 1313
127,ESO 481-18,M,UGCA 064
128,IC 1914   ,F,IC 1914
129,NGC 1300  ,G,NGC 1300
130,NGC 1299  ,F,NGC 1299
131,NGC 1306  ,F,NGC 1306
132,NGC 1310  ,M,NGC 1310
133,PGC 12608 ,F,MCG -03-09-027
134,NGC 1309  ,F,NGC 1309
135,PGC 12633 ,M,KUG 0319-072
136,PGC 12664 ,F,UGCA 067
137,ESO 548-5 ,F,UGCA 068
138,NGC 1325  ,M,NGC 1325
139,NGC 1325A ,F,NGC 1325A
140,IC 1933   ,F,IC 1933
141,ESO 358-5 ,F,ESO 358- G 005
142,NGC 1341  ,F,NGC 1341
143,NGC 1337  ,F,NGC 1337
144,NGC 1338  ,M,NGC 1338
145,ESO 548-25,G,ESO 548- G 025
146,NGC 1345  ,F,NGC 1345
147,PGC 12981 ,F,UGCA 075
148,NGC 1347  ,F,NGC 1347
149,NGC 1350  ,G,NGC 1350
150,ESO 418-8 ,F,ESO 418- G 008
151,IC 1954   ,M,IC 1954
152,ESO 418-9 ,F,ESO 418- G 009
153,NGC 1353  ,M,NGC 1353
154,ESO 548-32,F,UGCA 077
155,ESO 358-15,F,ESO 358- G 015
156,NGC 1357  ,M,NGC 1357
157,IC 1952   ,G,IC 1952
158,NGC 1365  ,G,NGC 1365
159,IC 1953   ,F,IC 1953
160,NGC 1359  ,F,NGC 1359
161,ESO 358-20,F,ESO 358- G 020
162,NGC 1367  ,G,NGC 1371
163,NGC 1385  ,F,NGC 1385
164,NGC 1398  ,M,NGC 1398
165,NGC 1406  ,G,NGC 1406
166,IC 1986   ,F,IC 1986
167,NGC 1415  ,G,NGC 1415
168,ESO 482-35,M,ESO 482- G 035
169,NGC 1433  ,G,NGC 1433
170,NGC 1425  ,M,NGC 1425
171,NGC 1421  ,G,NGC 1421
172,ESO 548-82,F,ESO 548- G 082
173,ESO 358-54,F,NGC 1437A
174,PGC 13684 ,F,MCG -03-10-041
175,NGC 1436  ,G,NGC 1436
176,PGC 13716 ,M,MCG -03-10-042
177,NGC 1438  ,G,NGC 1438
178,NGC 1452  ,G,NGC 1452
179,IC 1993   ,M,IC 1993
180,NGC 1473  ,F,NGC 1473
181,ESO 549-18,G,ESO 549- G 018
182,ESO 54-21 ,F,ESO 054- G 021
183,IC 2051   ,M,IC 2051
184,NGC 1483  ,F,NGC 1483
185,ESO 549-35,F,ESO 549- G 035
186,IC 2007   ,F,IC 2007
187,NGC 1493  ,F,NGC 1493
188,NGC 1494  ,F,NGC 1494
189,NGC 1512  ,G,NGC 1512
190,NGC 1515  ,G,NGC 1515
191,NGC 1518  ,F,NGC 1518
192,PGC 14487 ,F,UGCA 088
193,NGC 1519  ,F,NGC 1519
194,ESO 420-9 ,F,ESO 420- G 009
195,NGC 1532  ,G,NGC 1532
196,NGC 1546  ,G,NGC 1546
197,IC 2056   ,M,IC 2056
198,NGC 1559  ,F,NGC 1559
199,NGC 1566  ,G,NGC 1566
200,ESO 550-24,F,UGCA 090
201,UGC 3070  ,F,UGC 03070
202,ESO 202-41,F,ESO 202- G 041
203,NGC 1637  ,M,NGC 1637
204,NGC 1640  ,M,NGC 1640
205,ESO 551-31,F,ESO 551- G 031
206,PGC 15869 ,F,UGCA 094
207,NGC 1672  ,G,NGC 1672
208,NGC 1688  ,M,NGC 1688
209,ESO 421-19,F,UGCA 095
210,NGC 1679  ,F,NGC 1679
211,ESO 422-5 ,F,UGCA 097
212,NGC 1703  ,M,NGC 1703
213,ESO 485-21,G,UGCA 098
214,ESO 85-14 ,F,ESO 085- G 014
215,ESO 85-30 ,F,ESO 085- G 030
216,NGC 1792  ,M,NGC 1792
217,PGC 16784 ,F,DDO 036
218,NGC 1808  ,G,NGC 1808
219,ESO 305-9 ,F,ESO 305- G 009
220,ESO 422-41,F,UGCA 103
221,ESO 362-9 ,F,UGCA 106
222,ESO 423-2 ,F,UGCA 108
223,NGC 1879  ,F,NGC 1879
224,NGC 2104  ,F,NGC 2104
225,NGC 2460  ,M,NGC 2460
226,NGC 2500  ,F,NGC 2500
227,UGC 4169  ,F,UGC 04169
228,UGC 4151  ,M,UGC 04151
229,UGC 4238  ,F,UGC 04238
230,NGC 2543  ,G,NGC 2543
231,NGC 2537  ,F,NGC 2537
232,NGC 2541  ,F,NGC 2541
233,NGC 2552  ,F,NGC 2552
234,IC 2361   ,G,IC 2361
235,UGC 4390  ,F,UGC 04390
236,NGC 2604  ,M,NGC 2604
237,NGC 2608  ,M,NGC 2608
238,UGC 4499  ,F,UGC 04499
239,NGC 2648  ,G,NGC 2648
240,UGC 4543  ,F,UGC 04543
241,UGC 4549  ,M,UGC 04549
242,NGC 2633  ,G,NGC 2633
243,UGC 4621  ,G,UGC 04621
244,UGC 4623  ,M,UGC 04623
245,NGC 2681  ,G,NGC 2681
246,NGC 2684  ,F,NGC 2684
247,NGC 2701  ,F,NGC 2701
248,NGC 2712  ,M,NGC 2712
249,NGC 2710  ,G,NGC 2710
250,UGC 4701  ,G,UGC 04701
251,NGC 2731  ,F,NGC 2731
252,NGC 2735  ,G,NGC 2735
253,UGC 4714  ,F,UGC 04714
254,NGC 2743  ,F,NGC 2743
255,NGC 2750  ,M,NGC 2750
256,NGC 2742  ,M,NGC 2742
257,UGC 4787  ,F,UGC 04787
258,NGC 2715  ,F,NGC 2715
259,NGC 2770  ,M,NGC 2770
260,UGC 4824  ,M,UGC 04824
261,NGC 2776  ,M,NGC 2776
262,UGC 4845  ,G,UGC 04845
263,NGC 2780  ,G,NGC 2780
264,NGC 2748  ,M,NGC 2748
265,UGC 4871  ,F,UGC 04871
266,UGC 4867  ,G,UGC 04867
267,UGC 4841  ,M,Holmberg III
268,IC 529    ,M,IC 0529
269,UGC 4922  ,M,UGC 04922
270,NGC 2805  ,M,NGC 2805
271,NGC 2841  ,M,NGC 2841
272,UGC 4982  ,M,UGC 04982
273,NGC 2854  ,G,NGC 2854
274,NGC 2856  ,G,NGC 2856
275,NGC 2882  ,M,NGC 2882
276,NGC 2906  ,M,NGC 2906
277,NGC 2903  ,M,NGC 2903
278,NGC 2919  ,G,NGC 2919
279,NGC 2938  ,F,NGC 2938
280,UGC 5114  ,F,UGC 05114
281,PGC 27616 ,F,MCG -01-25-015
282,UGC 5172  ,F,UGC 05172
283,NGC 2967  ,M,NGC 2967
284,NGC 2964  ,M,NGC 2964
285,NGC 2978  ,G,NGC 2978
286,PGC 27810 ,M,MCG -02-25-013
287,PGC 27833 ,F,UGCA 175
288,UGC 5228  ,M,UGC 05228
289,UGC 5238  ,F,UGC 05238
290,NGC 3023  ,F,NGC 3023
291,NGC 3020  ,F,NGC 3020
292,NGC 2985  ,M,NGC 2985
293,NGC 3021  ,M,NGC 3021
294,PGC 28380 ,G,MCG -02-25-023
295,NGC 3041  ,M,NGC 3041
296,NGC 3049  ,G,NGC 3049
297,NGC 3055  ,M,NGC 3055
298,NGC 3031  ,G,MESSIER 081
299,NGC 3061  ,F,NGC 3061
300,UGC 5358  ,G,UGC 05358
301,UGC 5391  ,F,UGC 05391
302,NGC 3066  ,G,NGC 3066
303,NGC 3057  ,F,NGC 3057
304,UGC 5478  ,F,UGC 05478
305,NGC 3153  ,F,NGC 3153
306,NGC 3162  ,M,NGC 3162
307,UGC 5522  ,F,UGC 05522
308,NGC 3169  ,F,NGC 3169
309,NGC 3177  ,G,NGC 3177
310,NGC 3147  ,M,NGC 3147
311,IC 600    ,F,IC 0600
312,NGC 3185  ,G,NGC 3185
313,NGC 3155  ,G,NGC 3155
314,NGC 3184  ,M,NGC 3184
315,NGC 3198  ,M,NGC 3198
316,NGC 3213  ,F,NGC 3213
317,NGC 3206  ,F,NGC 3206
318,NGC 3227  ,G,NGC 3227
319,UGC 5612  ,F,UGC 05612
320,NGC 3225  ,F,NGC 3225
321,UGC 5646  ,M,UGC 05646
322,NGC 3246  ,F,NGC 3246
323,UGC 5676  ,F,UGC 05676
324,NGC 3254  ,M,NGC 3254
325,UGC 5695  ,F,UGC 05695
326,UGC 5688  ,F,UGC 05688
327,UGC 5707  ,F,UGC 05707
328,NGC 3274  ,F,NGC 3274
329,NGC 3264  ,F,NGC 3264
330,NGC 3259  ,M,NGC 3259
331,UGC 5740  ,F,UGC 05740
332,NGC 3287  ,F,NGC 3287
333,NGC 3294  ,M,NGC 3294
334,NGC 3299  ,F,NGC 3299
335,NGC 3310  ,G,NGC 3310
336,NGC 3321  ,M,NGC 3321
337,NGC 3319  ,G,NGC 3319
338,NGC 3320  ,M,NGC 3320
339,NGC 3338  ,M,NGC 3338
340,UGC 5832  ,F,UGC 05832
341,NGC 3344  ,M,NGC 3344
342,PGC 31979 ,F,UGCA 217
343,NGC 3346  ,F,NGC 3346
344,NGC 3351  ,G,MESSIER 095
345,NGC 3361  ,M,NGC 3361
346,UGC 5841  ,M,UGC 05841
347,PGC 32091 ,M,MCG -02-28-006
348,NGC 3359  ,M,NGC 3359
349,NGC 3368  ,G,MESSIER 096
350,NGC 3370  ,M,NGC 3370
351,UGC 5897  ,M,UGC 05897
352,NGC 3381  ,F,NGC 3381
353,NGC 3389  ,F,NGC 3389
354,NGC 3364  ,F,NGC 3364
355,UGC 5922  ,M,UGC 05922
356,IC 2604   ,F,IC 2604
357,UGC 5934  ,F,UGC 05934
358,NGC 3423  ,F,NGC 3423
359,UGC 5976  ,F,UGC 05976
360,NGC 3433  ,G,NGC 3433
361,NGC 3430  ,M,NGC 3430
362,UGC 5989  ,F,UGC 05989
363,NGC 3437  ,M,NGC 3437
364,NGC 3403  ,M,NGC 3403
365,UGC 6023  ,M,NGC 3451
366,NGC 3455  ,F,NGC 3455
367,NGC 3445  ,F,NGC 3445
368,NGC 3485  ,M,NGC 3485
369,NGC 3486  ,M,NGC 3486
370,NGC 3495  ,M,NGC 3495
371,NGC 3488  ,F,NGC 3488
372,UGC 6104  ,M,UGC 06104
373,NGC 3504  ,G,NGC 3504
374,NGC 3511  ,M,NGC 3511
375,NGC 3507  ,G,NGC 3507
376,NGC 3513  ,G,NGC 3513
377,NGC 3512  ,M,NGC 3512
378,ESO 502-16,F,ESO 502- G 016
379,NGC 3521  ,M,NGC 3521
380,UGC 6157  ,F,UGC 06157
381,UGC 6162  ,F,UGC 06162
382,UGC 6169  ,G,UGC 06169
383,UGC 6194  ,G,UGC 06194
384,ESO 502-20,F,ESO 502- G 020
385,IC 2627   ,G,IC 2627
386,NGC 3547  ,M,NGC 3547
387,NGC 3549  ,G,NGC 3549
388,UGC 6249  ,F,UGC 06249
389,NGC 3583  ,G,NGC 3583
390,NGC 3596  ,M,NGC 3596
391,NGC 3589  ,F,NGC 3589
392,UGC 6296  ,G,UGC 06296
393,ESO 438-17,M,UGCA 230
394,UGC 6309  ,G,UGC 06309
395,UGC 6320  ,F,UGC 06320
396,NGC 3614  ,M,NGC 3614
397,NGC 3623  ,G,MESSIER 065
398,UGC 6335  ,G,UGC 06335
399,NGC 3626  ,G,NGC 3626
400,NGC 3622  ,F,NGC 3622
401,UGC 6345  ,F,UGC 06345
402,NGC 3627  ,G,MESSIER 066
403,NGC 3625  ,G,NGC 3625
404,NGC 3629  ,F,NGC 3629
405,NGC 3631  ,M,NGC 3631
406,NGC 3652  ,G,NGC 3652
407,NGC 3655  ,M,NGC 3655
408,NGC 3659  ,F,NGC 3659
409,NGC 3654  ,F,NGC 3654
410,NGC 3664  ,F,NGC 3664
411,NGC 3672  ,M,NGC 3672
412,NGC 3673  ,M,NGC 3673
413,NGC 3675  ,M,NGC 3675
414,NGC 3681  ,M,NGC 3681
415,NGC 3684  ,M,NGC 3684
416,NGC 3686  ,M,NGC 3686
417,NGC 3687  ,M,NGC 3687
418,NGC 3691  ,F,NGC 3691
419,NGC 3689  ,G,NGC 3689
420,NGC 3683A ,M,NGC 3683A
421,NGC 3701  ,M,NGC 3701
422,NGC 3705  ,M,NGC 3705
423,NGC 3715  ,M,NGC 3715
424,UGC 6517  ,M,UGC 06517
425,NGC 3752  ,F,NGC 3752
426,NGC 3718  ,G,NGC 3718
427,UGC 6534  ,F,UGC 06534
428,NGC 3726  ,M,NGC 3726
429,ESO 503-22,F,ESO 503- G 022
430,PGC 35705 ,F,CGCG 012-022
431,NGC 3730  ,M,NGC 3730
432,UGC 6575  ,F,UGC 06575
433,NGC 3755  ,F,NGC 3755
434,NGC 3756  ,M,NGC 3756
435,NGC 3769  ,G,NGC 3769
436,IC 718    ,F,IC 0718
437,NGC 3782  ,F,NGC 3782
438,NGC 3795A ,F,NGC 3795A
439,NGC 3780  ,M,NGC 3780
440,NGC 3786  ,G,NGC 3786
441,NGC 3788  ,G,NGC 3788
442,PGC 36217 ,F,UGCA 241
443,NGC 3794  ,F,NGC 3794
444,NGC 3810  ,M,NGC 3810
445,NGC 3813  ,M,NGC 3813
446,PGC 36274 ,F,UGCA 242
447,NGC 3901  ,F,NGC 3901
448,UGC 6670  ,F,UGC 06670
449,ESO 504-10,F,ESO 504- G 010
450,NGC 3846A ,F,NGC 3846A
451,UGC 6713  ,F,UGC 06713
452,PGC 36551 ,F,MCG -01-30-027a
453,NGC 3876  ,F,NGC 3876
454,NGC 3850  ,F,NGC 3850
455,ESO 440-4 ,F,ESO 440- G 004
456,NGC 3887  ,M,NGC 3887
457,NGC 3888  ,M,NGC 3888
458,UGC 6773  ,F,UGC 06773
459,NGC 3893  ,M,NGC 3893
460,ESO 440-11,M,UGCA 247
461,NGC 3896  ,F,NGC 3896
462,NGC 3898  ,M,NGC 3898
463,NGC 3906  ,F,NGC 3906
464,UGC 6816  ,F,UGC 06816
465,NGC 3912  ,F,NGC 3899
466,NGC 3913  ,F,NGC 3913
467,UGC 6818  ,F,UGC 06818
468,NGC 3930  ,F,NGC 3930
469,IC 2969   ,F,IC 2969
470,UGC 6849  ,F,UGC 06849
471,NGC 3938  ,M,NGC 3938
472,ESO 504-24,F,ESO 504- G 024
473,NGC 3949  ,F,NGC 3949
474,NGC 3953  ,M,NGC 3953
475,NGC 3955  ,G,NGC 3955
476,NGC 3956  ,F,NGC 3956
477,UGC 6879  ,F,UGC 06879
478,ESO 504-28,F,ESO 504- G 028
479,UGC 6900  ,F,UGC 06900
480,UGC 6903  ,G,UGC 06903
481,NGC 3972  ,G,NGC 3972
482,ESO 572-18,F,ESO 572- G 018
483,NGC 3976  ,M,NGC 3976
484,NGC 3981  ,G,NGC 3981
485,NGC 3982  ,G,NGC 3982
486,UGC 6917  ,M,UGC 06917
487,NGC 3985  ,F,NGC 3985
488,UGC 6930  ,F,UGC 06930
489,NGC 3992  ,M,MESSIER 109
490,ESO 572-30,F,UGCA 257
491,IC 749    ,F,IC 0749
492,IC 750    ,G,IC 0750
493,NGC 4020  ,F,NGC 4020
494,UGC 6983  ,M,UGC 06983
495,NGC 4027  ,F,NGC 4027
496,NGC 4030  ,M,NGC 4030
497,NGC 4035  ,F,NGC 4035
498,NGC 4032  ,F,NGC 4032
499,NGC 4037  ,F,NGC 4037
500,UGC 7009  ,F,UGC 07009
501,NGC 4041  ,M,NGC 4041
502,NGC 4045  ,M,NGC 4045
503,NGC 4050  ,G,NGC 4050
504,NGC 4049  ,F,NGC 4049
505,NGC 4051  ,M,NGC 4051
506,PGC 38250 ,F,UGC 07070 NED02
507,NGC 4062  ,M,NGC 4062
508,NGC 4067  ,M,NGC 4067
509,IC 758    ,F,IC 0758
510,ESO 440-46,F,UGCA 267
511,NGC 4080  ,F,NGC 4080
512,NGC 4085  ,M,NGC 4085
513,NGC 4088  ,M,NGC 4088
514,IC 2995   ,M,IC 2995
515,NGC 4094  ,M,NGC 4094
516,NGC 4096  ,M,NGC 4096
517,NGC 4100  ,G,NGC 4100
518,NGC 4102  ,M,NGC 4102
519,NGC 4106  ,G,NGC 4106
520,NGC 4108  ,F,NGC 4108
521,NGC 4108B ,F,NGC 4108B
522,NGC 4116  ,F,NGC 4116
523,NGC 4123  ,M,NGC 4123
524,NGC 4127  ,M,NGC 4127
525,NGC 4120  ,F,NGC 4120
526,NGC 4133  ,M,NGC 4133
527,UGC 7133  ,F,UGC 07133
528,NGC 4136  ,F,NGC 4136
529,NGC 4142  ,F,NGC 4142
530,UGC 7143  ,M,UGC 07143
531,NGC 4141  ,F,NGC 4141
532,NGC 4145  ,M,NGC 4145
533,IC 764    ,G,IC 0764
534,NGC 4152  ,M,NGC 4152
535,NGC 4159  ,F,NGC 4159
536,UGC 7189  ,F,UGC 07189
537,NGC 4157  ,M,NGC 4157
538,ESO 441-17,F,ESO 441- G 017
539,NGC 4158  ,M,NGC 4158
540,UGC 7184  ,M,UGC 07184
541,NGC 4162  ,M,NGC 4162
542,NGC 4165  ,G,NGC 4165
543,IC 769    ,G,IC 0769
544,NGC 4178  ,F,NGC 4178
545,NGC 4180  ,G,NGC 4180
546,NGC 4189  ,M,NGC 4189
547,NGC 4192  ,G,MESSIER 098
548,NGC 4193  ,M,NGC 4193
549,UGC 7239  ,F,UGC 07239
550,NGC 4204  ,F,NGC 4204
551,NGC 4210  ,M,NGC 4210
552,UGC 7271  ,F,UGC 07271
553,NGC 4212  ,M,NGC 4208
554,NGC 4216  ,G,NGC 4216
555,NGC 4238  ,F,NGC 4238
556,NGC 4234  ,F,NGC 4234
557,NGC 4237  ,M,NGC 4237
558,IC 3102   ,G,NGC 4223
559,IC 3115   ,G,NGC 4241
